Title,Author,Rating,Genres
The Sisters Brothers,Patrick deWitt,3.85,"['Fiction', 'Westerns', 'Historical Fiction', 'Historical', 'Audiobook', 'Humor', 'Canada']"
The Queen's Gambit,Walter Tevis,4.18,"['Fiction', 'Historical Fiction', 'Audiobook', 'Contemporary', 'Chess', 'Historical', 'Literary Fiction']"
Wasted: A Memoir of Anorexia and Bulimia,Marya Hornbacher,4.02,"['Nonfiction', 'Memoir', 'Mental Health', 'Psychology', 'Mental Illness', 'Biography', 'Biography Memoir']"
"Princess of the Midnight Ball (The Princesses of Westfalin Trilogy, #1)",Jessica Day George,3.95,"['Fantasy', 'Young Adult', 'Romance', 'Fairy Tales', 'Retellings', 'Fiction', 'Magic']"
4 3 2 1,Paul Auster,3.97,"['Fiction', 'Historical Fiction', 'Contemporary', 'Literary Fiction', 'Novels', 'American', 'Literature']"
Heaven,Mieko Kawakami,3.80,"['Fiction', 'Contemporary', 'Japanese Literature', 'Japan', 'Literary Fiction', 'Asian Literature', 'Coming Of Age']"
"Every Dead Thing (Charlie Parker, #1)",John Connolly,3.96,"['Mystery', 'Thriller', 'Crime', 'Fiction', 'Horror', 'Mystery Thriller', 'Suspense']"
The Boy Who Was Raised as a Dog: And Other Stories from a Child Psychiatrist's Notebook,Bruce D. Perry,4.58,"['Psychology', 'Nonfiction', 'Mental Health', 'Science', 'Social Work', 'Parenting', 'Education']"
Audition,Ryū Murakami,3.50,"['Horror', 'Fiction', 'Japanese Literature', 'Japan', 'Thriller', 'Mystery', 'Contemporary']"
魔道祖师 [Mó Dào Zǔ Shī],Mò Xiāng Tóng Xiù,4.63,"['Fantasy', 'Romance', 'LGBT', 'Queer', 'China', 'Boys Love', 'Fiction']"
This is Where I Leave You,Jonathan Tropper,3.88,"['Fiction', 'Humor', 'Contemporary', 'Adult Fiction', 'Family', 'Adult', 'Book Club']"
"Rumo & His Miraculous Adventures (Zamonia, #3)",Walter Moers,4.52,"['Fantasy', 'Fiction', 'Humor', 'German Literature', 'Audiobook', 'Adventure', 'Young Adult']"
Off the Grid: The Catalyst,Brian  Courtney,4.19,"['New Adult', 'Suspense', 'Modern', 'Thriller', 'Fiction', 'Young Adult', 'Speculative Fiction']"
Killers of the Flower Moon: The Osage Murders and the Birth of the FBI,David Grann,4.14,"['Nonfiction', 'History', 'True Crime', 'Audiobook', 'Crime', 'Mystery', 'Historical']"
Tutunamayanlar,Oğuz Atay,4.55,"['Turkish Literature', 'Fiction', 'Turkish', 'Roman', 'Literature', 'Novels', 'Classics']"
Please Look After Mom,Shin Kyung-Sook,3.91,[]
"Grimm Up North (DCI Harry Grimm, #1)",David J. Gatward,4.25,"['Mystery', 'Fiction', 'Crime', 'Mystery Thriller', 'Thriller', 'Adventure', 'Space Opera']"
Autobiography of Red: A Novel in Verse,Anne Carson,4.27,"['Poetry', 'Fiction', 'Mythology', 'Queer', 'LGBT', 'Fantasy', 'Classics']"
Generation X: Tales for an Accelerated Culture,Douglas Coupland,3.74,"['Fiction', 'Contemporary', 'Canada', 'Novels', 'Literature', 'Short Stories', 'Literary Fiction']"
La vida es sueño,Pedro Calderón de la Barca,3.92,"['Plays', 'Classics', 'Spanish Literature', 'Fiction', 'Theatre', 'Spain', 'School']"
Autoboyography,Christina Lauren,4.12,"['Romance', 'LGBT', 'Young Adult', 'Contemporary', 'Queer', 'Audiobook', 'Fiction']"
Lincoln in the Bardo,George Saunders,3.75,"['Fiction', 'Historical Fiction', 'Audiobook', 'Fantasy', 'Literary Fiction', 'Historical', 'Magical Realism']"
D'Aulaires' Book of Greek Myths,Ingri d'Aulaire,4.41,"['Mythology', 'Classics', 'Childrens', 'Fiction', 'Fantasy', 'Picture Books', 'Greek Mythology']"
Jemima J,Jane Green,3.68,"['Chick Lit', 'Fiction', 'Romance', 'Contemporary', 'Adult', 'Contemporary Romance', 'Adult Fiction']"
"Death's End (Remembrance of Earth’s Past, #3)",Liu Cixin,4.41,"['Science Fiction', 'Fiction', 'Audiobook', 'China', 'Fantasy', 'Science Fiction Fantasy', 'Space']"
Wanted: An Honest Man (Lindsey Lark #1),Cricket Rohman,4.38,"['Drama', 'Contemporary', 'Novels', 'Mystery', 'Romance', 'Fiction', 'Contemporary Romance']"
Plato: Complete Works,Plato,4.37,"['Philosophy', 'Classics', 'Nonfiction', 'History', 'Politics', 'Reference', 'Ancient']"
"Of Poseidon (The Syrena Legacy, #1)",Anna Banks,3.99,"['Fantasy', 'Young Adult', 'Romance', 'Mermaids', 'Paranormal', 'Mythology', 'Paranormal Romance']"
Any Human Heart,William  Boyd,4.28,"['Fiction', 'Historical Fiction', 'Historical', 'Literary Fiction', 'Novels', 'Audiobook', 'Classics']"
Catch Me If You Can: The True Story of a Real Fake,Frank W. Abagnale,4.04,"['Nonfiction', 'Biography', 'Memoir', 'True Crime', 'Crime', 'Audiobook', 'Autobiography']"
La tregua,Mario Benedetti,4.18,"['Fiction', 'Romance', 'Spanish Literature', 'Novels', 'Latin American', 'Literature', 'Latin American Literature']"
"Falling into You (Falling, #1)",Jasinda Wilder,4.02,"['Romance', 'New Adult', 'Contemporary', 'Contemporary Romance', 'Young Adult', 'College', 'Fiction']"
The Curse of Cardoness: Maya's Magical Adventures continue,Malcolm McCoard,4.46,[]
"UnEnchanted (An Unfortunate Fairy Tale, #1)",Chanda Hahn,3.90,"['Fantasy', 'Young Adult', 'Fairy Tales', 'Romance', 'Fiction', 'Paranormal', 'Retellings']"
"One True King (The School for Good and Evil: The Camelot Years, #3)",Soman Chainani,4.35,"['Fantasy', 'Middle Grade', 'Young Adult', 'Romance', 'Adventure', 'Childrens', 'Fiction']"
Dom Casmurro,Machado de Assis,4.32,"['Classics', 'Fiction', 'Romance', 'Brazil', 'Literature', 'Portuguese Literature', '19th Century']"
"What She Found (Tracy Crosswhite, #9)",Robert Dugoni,4.39,"['Mystery', 'Fiction', 'Thriller', 'Crime', 'Mystery Thriller', 'Audiobook', 'Suspense']"
"The Dead-Tossed Waves (The Forest of Hands and Teeth, #2)",Carrie Ryan,3.91,"['Young Adult', 'Zombies', 'Dystopia', 'Horror', 'Fantasy', 'Fiction', 'Post Apocalyptic']"
"Truthwitch (The Witchlands, #1)",Susan Dennard,3.85,"['Fantasy', 'Young Adult', 'Magic', 'Young Adult Fantasy', 'Witches', 'Romance', 'High Fantasy']"
"Red Sparrow (Red Sparrow Trilogy, #1)",Jason  Matthews,3.95,"['Fiction', 'Thriller', 'Mystery', 'Espionage', 'Audiobook', 'Mystery Thriller', 'Russia']"
"The Gamble (Colorado Mountain, #1)",Kristen Ashley,4.25,"['Romance', 'Contemporary Romance', 'Contemporary', 'Adult', 'Romantic Suspense', 'Suspense', 'Mystery']"
"The Marriage Bargain (Marriage to a Billionaire, #1)",Jennifer Probst,3.79,"['Contemporary Romance', 'Contemporary', 'Adult', 'Chick Lit', 'New Adult', 'Fiction', 'Humor']"
Love on the Brain,Ali Hazelwood,3.91,"['Contemporary', 'Contemporary Romance', 'Fiction', 'Audiobook', 'Adult', 'Chick Lit', 'Romance']"
The Ten Thousand Doors of January,Alix E. Harrow,4.02,"['Fantasy', 'Fiction', 'Historical Fiction', 'Young Adult', 'Audiobook', 'Magical Realism', 'Historical']"
The Terror,Dan Simmons,4.08,"['Horror', 'Historical Fiction', 'Fiction', 'Fantasy', 'Thriller', 'Historical', 'Adventure']"
"The Faceless Ones (Skulduggery Pleasant, #3)",Derek Landy,4.40,"['Fantasy', 'Young Adult', 'Urban Fantasy', 'Fiction', 'Magic', 'Mystery', 'Middle Grade']"
"The Eternity Cure (Blood of Eden, #2)",Julie Kagawa,4.21,"['Vampires', 'Young Adult', 'Fantasy', 'Paranormal', 'Dystopia', 'Romance', 'Urban Fantasy']"
The Psychopath Test: A Journey Through the Madness Industry,Jon Ronson,3.95,"['Nonfiction', 'Psychology', 'Science', 'Audiobook', 'Mental Health', 'Sociology', 'Journalism']"
Pleasant Day,Vera Jane Cook,4.32,"['Mystery Thriller', 'Fiction', 'Contemporary', 'Mystery', 'Novels']"
"Wolfsong (Green Creek, #1)",T.J. Klune,4.23,"['Fantasy', 'Paranormal', 'LGBT', 'M M Romance', 'Queer', 'Shapeshifters', 'Werewolves']"
Stone Butch Blues,Leslie Feinberg,4.51,"['Queer', 'Fiction', 'LGBT', 'Feminism', 'Classics', 'Gender', 'Historical Fiction']"
حوار مع صديقي الملحد,مصطفى محمود,3.88,"['Religion', 'Philosophy', 'Nonfiction', 'Islam', 'Atheism', 'Theology', 'Unfinished']"
Goodbye to All That,Robert Graves,3.93,"['Nonfiction', 'History', 'Biography', 'Memoir', 'War', 'Classics', 'World War I']"
"The Magician King (The Magicians, #2)",Lev Grossman,3.92,"['Fantasy', 'Fiction', 'Magic', 'Audiobook', 'Urban Fantasy', 'Science Fiction Fantasy', 'Young Adult']"
Double Indemnity,James M. Cain,4.06,"['Fiction', 'Mystery', 'Noir', 'Classics', 'Crime', 'Thriller', 'Mystery Thriller']"
Silk,Alessandro Baricco,3.85,"['Fiction', 'Historical Fiction', 'Romance', 'Italian Literature', 'Japan', 'Italy', 'Historical']"
"In a Dark, Dark Wood",Ruth Ware,3.72,"['Mystery', 'Thriller', 'Fiction', 'Mystery Thriller', 'Suspense', 'Audiobook', 'Crime']"
Child of God,Cormac McCarthy,3.83,"['Fiction', 'Horror', 'Southern Gothic', 'Literature', 'Novels', 'American', 'Literary Fiction']"
Please Ignore Vera Dietz,A.S. King,3.87,"['Young Adult', 'Contemporary', 'Fiction', 'Realistic Fiction', 'Mystery', 'Teen', 'Coming Of Age']"
"Outbreak (Dr. Marissa Blumenthal, #1)",Robin Cook,3.98,"['Fiction', 'Thriller', 'Mystery', 'Medical', 'Horror', 'Science Fiction', 'Mystery Thriller']"
"The Recruit (Cherub, #1)",Robert Muchamore,4.23,"['Young Adult', 'Fiction', 'Adventure', 'Action', 'Espionage', 'Mystery', 'Thriller']"
"The Bride (Lairds' Fiancées, #1)",Julie Garwood,4.23,"['Historical Romance', 'Romance', 'Historical', 'Historical Fiction', 'Medieval', 'Fiction', 'Adult']"
Johnny Tremain,Esther Forbes,3.69,"['Historical Fiction', 'Fiction', 'Classics', 'Young Adult', 'Childrens', 'Historical', 'Middle Grade']"
"Wolf Brother (Chronicles of Ancient Darkness, #1)",Michelle Paver,4.20,"['Fantasy', 'Young Adult', 'Fiction', 'Adventure', 'Historical Fiction', 'Middle Grade', 'Historical']"
Tales from the Shadowhunter Academy,Cassandra Clare,4.30,"['Fantasy', 'Young Adult', 'Urban Fantasy', 'Romance', 'Paranormal', 'Short Stories', 'Young Adult Fantasy']"
"The Field Guide (The Spiderwick Chronicles, #1)",Tony DiTerlizzi,3.93,"['Fantasy', 'Middle Grade', 'Childrens', 'Fiction', 'Young Adult', 'Adventure', 'Magic']"
Baudolino,Umberto Eco,3.79,"['Fiction', 'Historical Fiction', 'Fantasy', 'Literature', 'Italian Literature', 'Historical', 'Italy']"
"So Below (The Fallen, #2)",Julie Mannino,4.16,"['Fantasy', 'Dark', 'Angels', 'Demons', 'M M Romance', 'Paranormal', 'LGBT']"
"A Song of Ice and Fire (A Song of Ice and Fire, #1-4)",George R.R. Martin,4.63,"['Fantasy', 'Fiction', 'Epic Fantasy', 'Adventure', 'Science Fiction Fantasy', 'Novels', 'High Fantasy']"
La ciudad y los perros,Mario Vargas Llosa,4.16,"['Fiction', 'Spanish Literature', 'Classics', 'Nobel Prize', 'Latin American', 'Latin American Literature', 'Literature']"
Murder in the Coven: Maya's Magical Adventures continue,Malcolm McCoard,4.50,[]
Collected Ghost Stories,M.R. James,4.14,"['Horror', 'Short Stories', 'Classics', 'Fiction', 'Gothic', 'Ghost Stories', 'Ghosts']"
Check & Mate,Ali Hazelwood,3.96,"['Young Adult', 'Contemporary', 'Romance', 'Fiction', 'Audiobook', 'Contemporary Romance', 'New Adult']"
My Unbeating Heart,Eli Wilde,4.31,"['Vampires', 'Horror']"
The Case for Christ,Lee Strobel,4.22,"['Christian', 'Nonfiction', 'Religion', 'Christianity', 'Faith', 'Theology', 'Spirituality']"
"Baptism of Fire (The Witcher, #3)",Andrzej Sapkowski,4.25,"['Fantasy', 'Fiction', 'Audiobook', 'High Fantasy', 'Polish Literature', 'Adventure', 'Epic Fantasy']"
"The Maddest Obsession (Made, #2)",Danielle Lori,4.25,"['Romance', 'Dark', 'Contemporary', 'Contemporary Romance', 'Adult', 'New Adult', 'Fiction']"
"Mistborn Trilogy Boxed Set (Mistborn, #1-3)",Brandon Sanderson,4.60,"['Fantasy', 'Fiction', 'Epic Fantasy', 'Science Fiction Fantasy', 'High Fantasy', 'Magic', 'Science Fiction']"
Frenchman's Creek,Daphne du Maurier,3.98,"['Classics', 'Historical Fiction', 'Fiction', 'Romance', 'Historical', 'Adventure', 'Pirates']"
"Unite Me (Shatter Me, #1.5-2.5)",Tahereh Mafi,3.90,"['Fantasy', 'Dystopia', 'Young Adult', 'Romance', 'Novella', 'Fiction', 'Science Fiction']"
The Blind Watchmaker: Why the Evidence of Evolution Reveals a Universe Without Design,Richard Dawkins,4.09,"['Science', 'Nonfiction', 'Biology', 'Philosophy', 'Religion', 'Atheism', 'Popular Science']"
"Stellarlune (Keeper of the Lost Cities, #9)",Shannon Messenger,4.44,"['Fantasy', 'Middle Grade', 'Romance', 'Fiction', 'Young Adult', 'Adventure', 'Magic']"
"The Terminal List (Terminal List, #1)",Jack Carr,4.28,"['Fiction', 'Thriller', 'Audiobook', 'Military Fiction', 'Mystery', 'Action', 'Mystery Thriller']"
"Summer of Night (Seasons of Horror, #1)",Dan Simmons,4.04,"['Horror', 'Fiction', 'Thriller', 'Fantasy', 'Coming Of Age', 'Mystery', 'Audiobook']"
Little Red Riding Hood,Julie Mannino,3.29,"['Fantasy', 'Romance', 'Retellings', 'M M Romance', 'LGBT', 'Werewolves', 'Fantasy Romance']"
"Three Day Road (Bird Family Trilogy, #1)",Joseph Boyden,4.29,"['Historical Fiction', 'Fiction', 'Canada', 'War', 'Indigenous', 'Historical', 'World War I']"
Père Goriot,Honoré de Balzac,3.85,"['Classics', 'Fiction', 'France', 'French Literature', 'Literature', '19th Century', 'Novels']"
"The Siege of Macindaw (Ranger's Apprentice, #6)",John Flanagan,4.34,"['Fantasy', 'Young Adult', 'Adventure', 'Fiction', 'Middle Grade', 'Childrens', 'Action']"
Who's Afraid of Virginia Woolf?,Edward Albee,4.06,"['Plays', 'Classics', 'Fiction', 'Theatre', '20th Century', 'American', 'School']"
"Twisted Perfection (Rosemary Beach, #5; Perfection, #1)",Abbi Glines,4.23,"['Romance', 'New Adult', 'Contemporary', 'Contemporary Romance', 'Young Adult', 'Abuse', 'Erotica']"
On Beauty,Zadie Smith,3.78,"['Fiction', 'Contemporary', 'Literary Fiction', 'Novels', 'Literature', 'British Literature', 'Family']"
The Last Sunset,March Lions,4.34,"['Drama', 'Novels', 'Contemporary', 'Science Fiction', 'Fiction']"
Dry,Augusten Burroughs,4.03,"['Memoir', 'Nonfiction', 'Biography', 'Humor', 'Biography Memoir', 'LGBT', 'Audiobook']"
"Martin the Warrior (Redwall, #6)",Brian Jacques,4.16,"['Fantasy', 'Fiction', 'Young Adult', 'Childrens', 'Animals', 'Adventure', 'Middle Grade']"
"Haunted (The Mediator, #5)",Meg Cabot,4.14,"['Young Adult', 'Paranormal', 'Fantasy', 'Romance', 'Ghosts', 'Fiction', 'Supernatural']"
Zeitoun,Dave Eggers,4.05,"['Nonfiction', 'Biography', 'History', 'Memoir', 'Biography Memoir', 'Book Club', 'Politics']"
The New Jim Crow: Mass Incarceration in the Age of Colorblindness,Michelle Alexander,4.52,"['Nonfiction', 'History', 'Race', 'Politics', 'Social Justice', 'Sociology', 'Audiobook']"
Letters from a Stoic,Seneca,4.34,"['Philosophy', 'Nonfiction', 'Classics', 'History', 'Self Help', 'Psychology', 'Personal Development']"
"The Realms of the Gods (Immortals, #4)",Tamora Pierce,4.32,"['Fantasy', 'Young Adult', 'Fiction', 'Science Fiction Fantasy', 'Audiobook', 'Childrens', 'Magic']"
Sleeping Beauties,Stephen        King,3.73,"['Horror', 'Fantasy', 'Fiction', 'Thriller', 'Audiobook', 'Mystery', 'Science Fiction']"
"Monument 14 (Monument 14, #1)",Emmy Laybourne,3.90,"['Young Adult', 'Dystopia', 'Science Fiction', 'Post Apocalyptic', 'Survival', 'Fiction', 'Apocalyptic']"
Love & Misadventure,Lang Leav,3.94,"['Poetry', 'Romance', 'Young Adult', 'Contemporary', 'Fiction', 'Love', 'Adult']"
The Mysterious Stranger,Mark Twain,4.12,"['Fiction', 'Classics', 'Fantasy', 'Short Stories', 'Literature', 'American', 'Philosophy']"
"The Outlaw Demon Wails (The Hollows, #6)",Kim Harrison,4.37,"['Urban Fantasy', 'Fantasy', 'Paranormal', 'Vampires', 'Witches', 'Magic', 'Demons']"
The Siren,Kiera Cass,3.70,"['Fantasy', 'Romance', 'Young Adult', 'Fiction', 'Audiobook', 'Mermaids', 'Paranormal']"
"The Art of Asking; or, How I Learned to Stop Worrying and Let People Help",Amanda Palmer,3.93,"['Nonfiction', 'Memoir', 'Biography', 'Self Help', 'Audiobook', 'Music', 'Art']"
The Institute,Stephen        King,4.20,"['Horror', 'Fiction', 'Thriller', 'Science Fiction', 'Audiobook', 'Fantasy', 'Mystery']"
Mischief and the Guardian Cats,Malcolm McCoard,4.37,[]
"As Above (The Fallen, #1)",Julie Mannino,3.72,"['Fantasy', 'Dark', 'M M Romance', 'BDSM', 'Demons', 'Angels', 'Magic']"
Hunting and Gathering,Anna Gavalda,4.12,"['Fiction', 'France', 'Romance', 'Contemporary', 'Roman', 'French Literature', 'Novels']"
Night Shift,Stephen        King,4.04,"['Horror', 'Short Stories', 'Fiction', 'Thriller', 'Fantasy', 'Mystery', 'Anthologies']"
The Yearling,Marjorie Kinnan Rawlings,4.03,"['Classics', 'Fiction', 'Young Adult', 'Historical Fiction', 'Animals', 'Childrens', 'Literature']"
Saving CeeCee Honeycutt,Beth Hoffman,3.96,"['Fiction', 'Historical Fiction', 'Chick Lit', 'Southern', 'Coming Of Age', 'Audiobook', 'Adult Fiction']"
"Dragonsinger (Harper Hall, #2)",Anne McCaffrey,4.30,"['Fantasy', 'Science Fiction', 'Dragons', 'Fiction', 'Young Adult', 'Science Fiction Fantasy', 'Audiobook']"
The Sweet Gum Tree,Katherine Allred,4.26,"['Romance', 'Contemporary', 'Contemporary Romance', 'New Adult', 'Chick Lit', 'Adult', 'Abuse']"
"The Vile Village (A Series of Unfortunate Events, #7)",Lemony Snicket,3.97,"['Fiction', 'Young Adult', 'Childrens', 'Middle Grade', 'Fantasy', 'Mystery', 'Adventure']"
"When Christ and His Saints Slept (Plantagenets #1; Henry II and Eleanor of Aquitaine, #1)",Sharon Kay Penman,4.26,"['Historical Fiction', 'Fiction', 'Historical', 'Medieval', 'British Literature', '12th Century', 'Plantagenet']"
"Maisie Dobbs (Maisie Dobbs, #1)",Jacqueline Winspear,3.93,"['Mystery', 'Historical Fiction', 'Fiction', 'Audiobook', 'Historical', 'Mystery Thriller', 'Historical Mystery']"
"The Initiation / The Captive Part I (The Secret Circle, #1-2)",L.J. Smith,3.95,"['Young Adult', 'Fantasy', 'Paranormal', 'Witches', 'Romance', 'Magic', 'Supernatural']"
"Witch & Wizard (Witch & Wizard, #1)",James Patterson,3.56,"['Fantasy', 'Young Adult', 'Fiction', 'Magic', 'Dystopia', 'Paranormal', 'Witches']"
A Beautiful Mind,Sylvia Nasar,4.13,"['Biography', 'Nonfiction', 'Psychology', 'Science', 'Mathematics', 'History', 'Biography Memoir']"
"David and Goliath: Underdogs, Misfits, and the Art of Battling Giants",Malcolm Gladwell,3.97,"['Nonfiction', 'Psychology', 'Business', 'Audiobook', 'Self Help', 'Sociology', 'Science']"
Deep Work: Rules for Focused Success in a Distracted World,Cal Newport,4.18,"['Nonfiction', 'Self Help', 'Productivity', 'Business', 'Psychology', 'Personal Development', 'Audiobook']"
Stiff: The Curious Lives of Human Cadavers,Mary Roach,4.06,"['Nonfiction', 'Science', 'Audiobook', 'Humor', 'Medical', 'Medicine', 'Death']"
The Tommyknockers,Stephen        King,3.60,"['Horror', 'Fiction', 'Science Fiction', 'Thriller', 'Fantasy', 'Aliens', 'Audiobook']"
"Traitor's Moon (Nightrunner, #3)",Lynn Flewelling,4.14,"['Fantasy', 'LGBT', 'M M Romance', 'Fiction', 'Queer', 'Romance', 'High Fantasy']"
Time Chain,Steven Decker,3.96,"['Time Travel', 'Science Fiction', 'Fiction', 'Fantasy', 'Historical Fiction', 'Contemporary', 'Drama']"
The Blind Owl,Sadegh Hedayat,3.97,"['Fiction', 'Classics', 'Horror', 'Novels', 'Literature', 'Philosophy', 'Literary Fiction']"
"Remy (Real, #3)",Katy Evans,4.27,"['Romance', 'New Adult', 'Sports', 'Fighters', 'Contemporary Romance', 'Contemporary', 'Sports Romance']"
Catherine the Great: Portrait of a Woman,Robert K. Massie,3.94,"['History', 'Biography', 'Nonfiction', 'Russia', 'Historical', 'Biography Memoir', 'Audiobook']"
"Black House (The Talisman, #2)",Stephen        King,4.03,"['Horror', 'Fantasy', 'Fiction', 'Thriller', 'Mystery', 'Audiobook', 'Supernatural']"
"Unleash the Night (Dark Hunter, #8; Were-Hunter, #2)",Sherrilyn Kenyon,4.33,"['Paranormal Romance', 'Paranormal', 'Romance', 'Fantasy', 'Vampires', 'Urban Fantasy', 'Shapeshifters']"
"Brimstone (Pendergast, #5; Diogenes, #1)",Douglas Preston,4.15,"['Mystery', 'Thriller', 'Fiction', 'Horror', 'Mystery Thriller', 'Suspense', 'Crime']"
"The Prisoner of Cell 25 (Michael Vey, #1)",Richard Paul Evans,4.22,"['Young Adult', 'Science Fiction', 'Fantasy', 'Fiction', 'Adventure', 'Middle Grade', 'Teen']"
"Behind the Beautiful Forevers: Life, Death, and Hope in a Mumbai Undercity",Katherine Boo,3.98,"['Nonfiction', 'India', 'History', 'Audiobook', 'Poverty', 'Sociology', 'Travel']"
The Intelligent Investor,Benjamin Graham,4.24,"['Finance', 'Business', 'Nonfiction', 'Economics', 'Money', 'Personal Finance', 'Self Help']"
The Dragon Storm: Abracadabra,Anthony DiPaolo,4.36,['Fantasy']
Scarlett,Alexandra Ripley,3.65,"['Historical Fiction', 'Fiction', 'Romance', 'Classics', 'Historical', 'Historical Romance', 'Adult']"
"Ancillary Justice (Imperial Radch, #1)",Ann Leckie,3.99,"['Science Fiction', 'Fiction', 'Space Opera', 'Science Fiction Fantasy', 'Audiobook', 'Fantasy', 'Space']"
"The Sympathizer (The Sympathizer, #1)",Viet Thanh Nguyen,4.01,"['Fiction', 'Historical Fiction', 'War', 'Asia', 'Historical', 'Literary Fiction', 'Novels']"
"Terms and Conditions  (Dreamland Billionaires, #2)",Lauren Asher,4.11,"['Contemporary', 'Contemporary Romance', 'Fiction', 'Adult', 'Audiobook', 'Romance', 'New Adult']"
"High Five (Stephanie Plum, #5)",Janet Evanovich,4.18,"['Mystery', 'Fiction', 'Humor', 'Chick Lit', 'Romance', 'Crime', 'Mystery Thriller']"
"Think of a Number (Dave Gurney, #1)",John Verdon,3.88,"['Mystery', 'Thriller', 'Fiction', 'Crime', 'Mystery Thriller', 'Suspense', 'Detective']"
Meeting With Christ and Other Poems,Deepak Chaswal,4.43,['Poetry']
Letters From Your Soul,Victor Noble,4.33,"['Spirituality', 'Poetry', 'Nonfiction']"
"The Unlikely Pilgrimage of Harold Fry (Harold Fry, #1)",Rachel Joyce,3.94,"['Fiction', 'Contemporary', 'Audiobook', 'Book Club', 'British Literature', 'Adult Fiction', 'Literary Fiction']"
The Complete Grimm's Fairy Tales,Jacob Grimm,4.24,"['Classics', 'Fantasy', 'Fiction', 'Short Stories', 'Fairy Tales', 'Childrens', 'Mythology']"
Diary of a Drug Fiend,Aleister Crowley,3.79,"['Fiction', 'Occult', 'Classics', 'Philosophy', 'Thelema', 'Magic', 'Novels']"
One Rainy Night,Richard Laymon,3.85,"['Horror', 'Fiction', 'Splatterpunk', 'Thriller', 'Zombies', 'Pulp', 'Supernatural']"
The Burn Palace,Stephen Dobyns,3.54,"['Mystery', 'Horror', 'Fiction', 'Thriller', 'Suspense', 'Crime', 'Mystery Thriller']"
The Man of Bronze (Doc Savage #1),Kenneth Robeson,3.79,"['Pulp', 'Adventure', 'Fiction', 'Science Fiction', 'Fantasy', 'Action', 'Mystery']"
Mechanical Factors and the Skeleton,Ian A.F. Stokes,0.00,[]
The Emperor of Ice-Cream and Other Poems,Wallace Stevens,3.97,"['Poetry', 'Classics', 'Literature']"
The Golem,Gustav Meyrink,3.83,"['Horror', 'Fiction', 'Classics', 'Fantasy', 'Gothic', 'German Literature', 'Literature']"
Mad About the Sixties: The Best of the Decade,MAD Magazine,4.29,"['Humor', 'Comics', 'Graphic Novels', 'Comix', 'Nonfiction', 'Comedy', 'Collections']"
Manhattan Bombshell,N. Wesley Firth,0.00,[]
The Flesh Painter,Ad Gordon,it w,[]
"The Rising (Blue River Chronicles, #1)",C.M. Meridian,3.88,"['Werewolves', 'Urban Fantasy', 'Shapeshifters']"
The Top 10 of Everything 2007,Russell Ash,3.90,"['Nonfiction', 'Science']"
The Zookeeper's Wife: A War Story,Diane Ackerman,3.49,"['Nonfiction', 'History', 'World War II', 'Holocaust', 'Historical', 'Biography', 'Audiobook']"
"Odd Hours (Odd Thomas, #4)",Dean Koontz,3.96,"['Horror', 'Fiction', 'Fantasy', 'Thriller', 'Mystery', 'Paranormal', 'Supernatural']"
The Vagina Monologues,V (formerly Eve Ensler),3.87,"['Feminism', 'Nonfiction', 'Plays', 'Drama', 'Womens', 'Theatre', 'Sexuality']"
The River of Doubt: Theodore Roosevelt's Darkest Journey,Candice Millard,4.20,"['History', 'Nonfiction', 'Biography', 'Adventure', 'Travel', 'Presidents', 'American History']"
"The Magician's Apprentice (Black Magician, #0.5)",Trudi Canavan,3.98,"['Fantasy', 'Magic', 'Fiction', 'Young Adult', 'High Fantasy', 'Epic Fantasy', 'Adventure']"
"Fallen (Will Trent, #5)",Karin Slaughter,4.23,"['Mystery', 'Thriller', 'Crime', 'Fiction', 'Audiobook', 'Mystery Thriller', 'Suspense']"
"Wayward Son (Simon Snow, #2)",Rainbow Rowell,3.91,"['Fantasy', 'Young Adult', 'LGBT', 'Romance', 'Queer', 'Fiction', 'Audiobook']"
"They Shoot Horses, Don't They?",Horace McCoy,3.86,"['Fiction', 'Noir', 'Classics', 'Crime', 'Mystery', 'Novels', 'Historical Fiction']"
"Yours Truly, Taddy (The Undergrad Years, #2; Invitation to Eden, #1)",Avery Aster,3.74,"['New Adult', 'Romance', 'Contemporary Romance', 'Menage', 'Young Adult', 'Erotica', 'Erotic Romance']"
"The Hazel Wood (The Hazel Wood, #1)",Melissa Albert,3.56,"['Fantasy', 'Young Adult', 'Fiction', 'Young Adult Fantasy', 'Audiobook', 'Fairy Tales', 'Mystery']"
The Beagle and the Hare,Kevin Moccia,4.39,[]
"A Hidden Fire (Elemental Mysteries, #1)",Elizabeth   Hunter,4.03,"['Paranormal', 'Fantasy', 'Romance', 'Vampires', 'Paranormal Romance', 'Urban Fantasy', 'Mystery']"
Deep World Fire  (Deep World Saga #1),C.M. Meridian,4.38,"['Fantasy', 'Epic Fantasy', 'Fiction']"
"The Camel Club (The Camel Club, #1)",David Baldacci,4.07,"['Fiction', 'Thriller', 'Mystery', 'Suspense', 'Crime', 'Mystery Thriller', 'Audiobook']"
"The Caves of Steel (Robot, #1)",Isaac Asimov,4.19,"['Science Fiction', 'Fiction', 'Mystery', 'Classics', 'Robots', 'Science Fiction Fantasy', 'Audiobook']"
