Title,Author,Rating,Genres
"The Adventures of Sherlock Holmes (Sherlock Holmes, #3)",Arthur Conan Doyle,4.30,"['Mystery', 'Fiction', 'Short Stories', 'Crime', 'Classics', 'Audiobook', 'Mystery Thriller']"
"The Pillars of the Earth (Kingsbridge, #1)",Ken Follett,4.34,"['Historical Fiction', 'Fiction', 'Historical', 'Fantasy', 'Classics', 'Audiobook', 'Medieval']"
"The Fellowship of the Ring (The Lord of the Rings, #1)",J.R.R. Tolkien,4.40,"['Fantasy', 'Classics', 'Fiction', 'Adventure', 'Audiobook', 'High Fantasy', 'Science Fiction Fantasy']"
Rebecca,Daphne du Maurier,4.25,"['Fiction', 'Mystery', 'Gothic', 'Romance', 'Classics', 'Historical Fiction', 'Thriller']"
"The Girl with the Dragon Tattoo (Millennium, #1)",Stieg Larsson,4.17,"['Fiction', 'Mystery', 'Thriller', 'Crime', 'Mystery Thriller', 'Suspense', 'Contemporary']"
"Watership Down (Watership Down, #1)",Richard  Adams,4.09,"['Classics', 'Fiction', 'Fantasy', 'Young Adult', 'Animals', 'Childrens', 'Adventure']"
Great Expectations,Charles Dickens,3.79,"['Classics', 'Fiction', 'Literature', 'Historical Fiction', 'School', 'Novels', 'Classic Literature']"
"Outlander (Outlander, #1)",Diana Gabaldon,4.26,"['Historical Fiction', 'Romance', 'Fantasy', 'Fiction', 'Time Travel', 'Historical', 'Historical Romance']"
The Color Purple,Alice Walker,4.27,"['Fiction', 'Historical Fiction', 'Feminism', 'LGBT', 'Historical', 'Queer', 'African American']"
One Flew Over the Cuckoo’s Nest,Ken Kesey,4.20,"['Fiction', 'Classics', 'Psychology', 'Literature', 'Novels', 'Mental Health', 'School']"
Anna Karenina,Leo Tolstoy,4.09,"['Fiction', 'Romance', 'Russia', 'Historical Fiction', 'Russian Literature', 'Literature', 'Novels']"
My Sister’s Keeper,Jodi Picoult,4.10,"['Fiction', 'Chick Lit', 'Young Adult', 'Drama', 'Adult', 'Adult Fiction', 'Realistic Fiction']"
The Brothers Karamazov,Fyodor Dostoevsky,4.38,"['Fiction', 'Russia', 'Classics', 'Russian Literature', 'Literature', 'Philosophy', 'Novels']"
And Then There Were None,Agatha Christie,4.28,"['Mystery', 'Fiction', 'Thriller', 'Crime', 'Mystery Thriller', 'Classics', 'Audiobook']"
A Tree Grows in Brooklyn,Betty  Smith,4.30,"['Fiction', 'Historical Fiction', 'Classics', 'Young Adult', 'Coming Of Age', 'Historical', 'New York']"
A Clockwork Orange,Anthony Burgess,real,"['Fiction', 'Science Fiction', 'Dystopia', 'Horror', 'Literature', 'Novels', 'Modern Classics']"
